JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,Industry,JobUrl
Service Manager,Penticton Hyundai,"Penticton, BC",Posted1 day ago,2022-08-06,"Oversee a strategy to continuously engage customers, provide outstanding customer experiences and drive referral and repeat business.","$80,000–$120,000 a year",Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0COHegvdSXiMv33rmJeo4cSbVpq9bln7hj_aemmu11ESoLeJMCZCWYfrDYTgenb2JEiV4WKp9zWEoxT7Y5sXwEqAruWiMRi_hAKEfhohWuH-necuzLCFIbqTiKyj-AY-QPgRMWwTBqBCYgNHh4qgI6soC3zXp21mgUmm0zu3g9e6-rA0ucjavy1Xl8jqyz3PboEn5xo9GkMJ8snlyWqWjxQIH8b9cFMkHXEEtBWj-Skh0LLUnQbvjKi4Y3MpZt4Yo-b6_jU_NvB4UFWFoak8cmV25UeFq-qjaXaqSw2gwd4lyivuDAY3aTJnMOlmfJmmBlWzrG9gImoXxMaTPJtzA8IZ4X44Btt2zmZ5DwKGAJVDw7--yooFMlHv0Oe2Jojr5CrsQTNmTWvnb6onP9aNwCREey1d3gQDQrHf3SD7wa4g4-ChtgF1Ok0JfirHFHcJ0OjLaSNQiamyhpH9wUbih0z&xkcb=SoAc-_M3b6iXt9Re3h0LbzkdCdPP&p=0&fvj=1&vjs=3
Supplement Advisor,Supplement King Vernon,"Penticton, BC",PostedToday,2022-08-06,"This part-time position is great for students or anyone looking to work in the evenings Monday to Friday and/or weekends!
Part-time hours: 8-16 per week.",From $16 an hour,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BEF-TLbHWUvaDgttWQuZVbPh-tYud_4BdZtfiWx1-_54INyh4uPMvT8xyLFpQEJqlAIuAiKHrn-WDZdW0AzZZMoH9V_5teDYaoVGcXzZPB6II4DM5S_7UdrVcfqqcVVguUWoA8wN8hadZ_OwpYXxTnIr3jz-hoifliES5htcdAnHeDxygJrs1pwNZXKOrCuL4JIZFgse2FSW5HhrKayjOlOmHV3SPDk4B_8nkVJ9xdXfCg8miovNmtk-mLKJDAj2SzeOFlzoJtDcnLewZ--r7gPlMOifxoAFj0cl2eSGzGY2iLSudJwNUdQwvJ8PwMqrMkCdLOwycIndBQRP-Np9fGrDeMUORoKY54ZsASfnqf6ZBaArGgibmTHGJljUKI4Vpe81L4ur190arX78hL8THLeozMopqC8lH6mMJceQkbFFdXcO8F8lwGkQi8AEN2j2abEcek0EzsS9uPyCCFwHOv2C6pTPwxBHA=&xkcb=SoCo-_M3b6iXt9Re3h0KbzkdCdPP&p=1&fvj=1&vjs=3
Accounts Receivable & Office Administration,Skytouch Flooring,"Penticton, BC",EmployerActive 15 days ago,2022-08-06,"Primarily Accounts Receivable including but not limited to cash & carry invoicing, account holder invoicing, month-end statements, collections, posting receipts…",$20–$24 an hour,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BrXWsTQrJxmYIlRTQcQOijhLxE0mcE1zHWPq6OvBp6_-beXgbDHHhjYAyt-Oq_9yrik0y9_DPmuGbLAFgDr4yQRUkdKQ_Np5UKMQlnX-tas3S-TMY7gBJLyJFD7xj7MHlWjn7jmI1P1-rcQvmChFuGi7Z4NXYX31MLGF8OBwK3a3s59IxQX01Pa4Ofdc5gm82RzuJc6HgVdcaJR23J__2Ebjr16clDvvSoMxZEvBUHjLIRclwz8tGSu6LDm5yGeyXKfVmMd1jU0EelDJ0YUGxDxtlIiFVR98nYoRAT6hDmKk4sYZl0QfgOwPKo44YdmTDPYu8VJjM13Q2ZgOxWI2t_wRocboNPGGIQSxQqdrnHAFoH6-nSI6qhQD-naGAOOL22Ep1vVlUTh0KpVGAYv2X7pbqRH53cDbk03KF1KAQvFbtI7QTd9CB7_omfiEePwFXQ01ArL_Vscj7E1fm1ucgstqN0mcHwfvIfAcr6F0UQwf5igiIoJF9W&xkcb=SoA1-_M3b6iXt9Re3h0JbzkdCdPP&p=2&fvj=1&vjs=3
Post Office Clerk,Shoppers Drug Mart / Pharmaprix,"Penticton, BC",Posted30+ days ago,2022-08-06,In compliance with the policies and procedures of Shoppers Drug Mart and Canada Post Corporation • Maintains and controls the cash register in the department in…,Full-time,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5VBEfUGqMyB9yGq6fzxQHKsgXpRdUcTZd70V7yFRQPMIgww4Gem68qmJhkGE9mfAsnH7wp_1PtIVgSrNG7bVgWsCMa3QjgDxxu75Tvzpc4PBrUVtDhThlmfjKR1ChlQ_1sF1V_H1NWi7WfLMUM0rSfJUWibfWDlxKMEQ3yRibLQ67x8pd31QxQ20PWkrjPymuDoJ7pHdJdXCz_f3L6fDgmSy9UuOxDFYK6AXbXHgwENp4nnf3z5q6X0fRlCs5QF7MXz0r1Qn3yKm8_b68Xx3TqOFblMkYc_7NLLR-hNBttdCQiC8Zh3eomNF_9JwAmW7qUMRcAGjmdGDwgJr2hLyge0-ZF3mSXOJesq4Z9S7FcOJ95I_EvruGHsGw_yKvFtGxfJ0EBYQR1JGqVJxS8GUm8rkQdzp1yNkFsC6WdOfqz0K7RA2epBiFt3MQyhTAuBGPg6CYLdz8vysZI07yXCJU3H8mLzRq4RJswgU4-QlYqHRaD6xTOavCukMdVsHqk8p9ljVO75wv_YTBq_oB22dTC8mmYfKgzPG117xMWfHgexv-Pq8U2ADdexsM9u960OpwrgSF67-WuyChyE2ZWMfsZ8JQIVKXjxwtYW7vEqfuN1OMSPUf8-puKU4K7zzOM0OWEAA3StVPuzBYsnKQg3Ftd7x88FUT_aSvDE5j4ce1CJoO-2Vvpr6IxBCC5aUXO-_lLeI9lplHDL3jpg69i4Xm-GbvvzaTPe1odD624X7N0A==&xkcb=SoCB-_M3b6iXt9Re3h0IbzkdCdPP&p=3&fvj=0&vjs=3
Wine Advisor,Save-On-Foods,"Penticton, BC",Posted23 days ago,2022-08-06,"Providing demonstrations on various wine products to engage customers.
Providing customers with information about various specially selected wines and making…",$16.20 an hour,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A_EXSXQZ876MkP2AO_t1POXQWZkg1SyJbvZPvl8rPDmmE8wOWmmJTQLxPXb-jQAOVJG4zKvkWGC-U9UuXXOxoToendoBQ7tV7FPl_-hcAFLhPS-3DgYRNXoBlktJFdVc8mNrOVvhgCpe27RkyaMYjROEcaYtldZlCXu1B2svEsjBSIBRST-vbAgkTkKAgf83yRdFPtzJhBAwqMotEJ2Q0iNFMLCUKHdSsfMgU5ZzLAG093rd3bjhErwCtLstl_KuoXH_Z42RYeOxq2N9R9b_EqPNbpSa_Z8w0brS1CF8IgJXWBKcQTBooK0lia_hbQMyHTfCNMWYo46d7VdhJJXY36Ci1N9bGnRGQMR5wp5Ybd4ts4BPNNM5KwoM4xtD3iqAxTRuMmk5um-8wXk5cjnaojEIOrqUBI0LWI_12a-CBjuRm4wtssTa333AFHm4m_vFPMzJ9Z6r2AbGgakPI8qXwFtVVVx2Sy19JL1HR91eGgn873D_rDs50YQ8qeu0LDZubx1VGImHPFkg==&xkcb=SoBZ-_M3b6iXt9xe3h0LbzkdCdPP&p=4&fvj=0&vjs=3
General Clerk,Save-On-Foods,"Penticton, BC",Posted30+ days ago,2022-08-06,"An organization that supports local growers, products, community groups, and the environment.
Operating a cash register and bagging groceries.",$16.20 an hour,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A_EXSXQZ876MkP2AO_t1POXQWZkg1SyJbvZPvl8rPDmmE8wOWmmJTQLxPXb-jQAOXWWaMHyKcceZXgG0KAEIyV5Ah5UlG6EKh2XBb27QjVSEIhmulmt0Q3QIB05Du-4U8lQ192Yoy_VqaxMXt8lfzGg_CavxjZhc_GqxQVoWMADroG5IK-3N26y2g3jrR9RA2GfYoMAO3Gs5iXRvQrwKBOh2cbRr1yZ_a_t9f3wNdkw9cpw57HqLUmazFakV3bBHB2W_RxjXVPX6_gwj0gBCbbK70_qYe-V-O4xFW3lH3hCeKGeApEeczb3Pn2RAeeBlEEpxEc_sTBNwxRzXPjXjrVHl46RX0Z_Qm9qW1JFHPiHiPlbvj3CObNx4eWo9BWLLfSB6hSbYgsyR0AbUWkMnYEeuTGEAnfdacy3jNzLMw8IHuP_naA301Knce5fD0YWf1MjoUezBmZDnzZ2PQGy7KkP4b6sfXZfVrKZsttewiJbp1ltABzDvXxOtqmqQNeIn0Ear4Tfv6Mdg==&xkcb=SoDt-_M3b6iXt9xe3h0KbzkdCdPP&p=5&fvj=0&vjs=3
Full-Time Crew Member,McDonald's,"Penticton, BC+2 locations",Posted19 days ago,2022-08-06,"Greeting guests, taking orders and processing payments.
Managing delivery and mobile orders.
Assembling orders and packaging take-out and delivery.",Full-time,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CKuWLIyBcSaZHTBsX19-XRUig2UUNhaqTkNIsV4DSj42njcRAiEJr9rDGCKaRcJHneUqQ8uQk44ixor3onirDH8c7cppniW-0Wm7p12y87atiz8gViLWxVsqm1W0kI8qlzIgtEZWDafQdNEMtXUZjaDVITsL_AT4UANsBoS0tqW3iq5L2woZMk3pV1FF-S9kvd97YmegxkuTJz1vUFF0Ckp3OXkC4Ot-easqO96KXeP2oAb5kdKEiVbw5AtmcbSK2b7dcUoNfJizQZkB0SOwBoV24aZgCcHyteLxM88Cxz4JjKAqoyzTvwX2VPxT8zGQINaWBqAJQ9IgxFsSRKmopPETo0CaSj9NWIjIjdAYGzcI1hitAKkjjoTFwEFNvhQnEiPNEPmD2kY8Q-pHQ3W0l1NGWbA4CysAhFYQwx-TU5vpLG295yrpLelNPOspRnDi79HqRSQXy3Vn6ICvYX8_UR_WEzBz8rKNAGvyaEcUoGJ8-KU_QwhDkzSv6XFLK_xqIMyfjMRxnDRPm1_TIrBuSl&xkcb=SoBw-_M3b6iXt9xe3h0JbzkdCdPP&p=6&fvj=0&vjs=3
Customer Service Representative,Cloverdale Paint Inc,"Penticton, BC",Posted3 days ago,2022-08-06,"Determining and recommending products to customers ensuring the customer is supplied with all items required for their project.
Job Types: Full-time, Permanent.",Full-time,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B_98hYTtp1LvExIHqHQ2aGcahNwumgdIEZm340ZJthfxSqtjsAdut9zfnU_h3KGVGWsB-AbTsbLY1iojWFQWZVeVAyFBfKjdwqb3hf_VyGyC9dvNw20zKbNMKhJPVm-xX1bLNnqlvhxkUdTtT8mt6M4L-dFpaLqmPe1i_FISJBzt57Rp2INYMeV-i2xX6WFrY8TUP8XTKCxLcg82nYPmj-GOCGXJRTneIPb9HQqYCYrLj-uLwBeL3znk-sJ58LC3QwMtLvhtDxPSvNd7Grszwa0oTIsRYIPlPfGMzjIllOXU8D6bS2QQYw_IkDNxicHTG6c46E02txPbedVvjcDLpoN7hcelngx_T0j22K47WX0TncIBygl1V0SZjsSIz_0Zm7DLl2YDgPbdh0fG5o_KNi7gozfqK2wY7V1u-RFXYRZGo6FZYiWyk6laMcwSIE94RnRGH4R9p85nwbknOwtrynPvo9BKQeKSOdVDhY_CJiFg==&xkcb=SoDE-_M3b6iXt9xe3h0IbzkdCdPP&p=7&fvj=1&vjs=3
Tire and Lube Technician,Jiffy Lube,"Penticton, BC",EmployerActive 19 days ago,2022-08-06,"No license required, and full training provided to become a Jiffy Lube service technician adviser.
This role is full time or part time, with flexible hours.",$16–$22 an hour,Retail & Wholesale,ca.indeed.com/company/Jiffy-Lube/jobs/Tire-Lube-Technician-2b8622a7a4e640d8?fccid=30f7a2519a1995b0&vjs=3
"Calling all Sales Associates, Photographers and Assistants!!",Photos Unlimited,"Penticton, BC",EmployerActive 27 days ago,2022-08-06,"Job Types: Full-time, Part-time, Permanent.
Retail sales: 1 year (preferred).",$17–$21 an hour,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CUfFzw53SFpfTIeseVFpCTxtbF2v4DEYMn5HKNETtZM_VhKPHPMA4_f_81bO_jfcyeESB1FgBB1F0U-c2rKwuPub7sXG5HFjCLYOYhu7OUrVzooJsX_DRFYrliLrH4feA4bvjAj7hOxseYoblnjezxAsO-cZV-qyg0Q6bwqwKPg5VNQ9iVXpCLB7pzqKczsIkb01MdPOfQrbUieUoRYvc755iKS5vygbpTyIlypfJZEJte24xP-Uzcj47QE-mlzT745BdcRS4XZ7fmuC9HzVfKamlNMHaLCETcwuGtvw37ikBvcDzvIbDiTaJVkTqhtCVPBVOJBNYBAR8_BWa9zxwiAzu9UNWIYCSKXfnYrYkaaHRa1UOT9n_4heUOpzNCubl4XUj-h6xatO0Zdaf1JBE6QhuATZ-XNjKtBMH2mcexT3fmxsMU-WJejpmNgUxC6qKgZ34re53Nt4pxCmCYW27Q6YV37D1qdfc6ZM5sdza9v9DPvFn71AaIv2OQbKd85vot9252i2a_ZQ==&xkcb=SoDX-_M3b6iXt8Re3h0LbzkdCdPP&p=9&fvj=1&vjs=3
