JobTitle,Company,Location,PostDate,ExtractDate,Summary,Salary,Industry,JobUrl
Cannabis Sales Associate,Clarity Canna,"Victoria, BC",PostedPosted 11 days ago,2022-08-06,"The best crew to work with!!!.
Part-time hours: 16 per week.
Customer service: 1 year (preferred).",From $19 an hour,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AJWjt4N-T7miP65dlfNN_MvXhCw4EpBAy8tv20ZAgIs7D8khU79DLw6iAaMNzvs9EY0vGIj8CPle0_2Epjpu9ssD6E1Ej0-oTXmZqDPZUpcxYpM4OIbUfVGy4i1F0yNMa8xpsZoQrp-BQPiG13TKpR1x4uiFqS9X_fyZJJSU6R1q_EbNJ59R7zuuMIyisLk-80HgU323YNVTsM3MKw7EX0a_skt1sjoeKNFeF4JpNI4_OoViUQgoyAUoOW9kxk8bKXBQjsrmZl-q5szHnVuF7Gii5QT4UZrfP-0bgyzelIKLiemIPoSeyAzbCThs5M6OIj2MSPBRefArWm687j3CCpLAnH7sf9unjBTSyKP01eBdNod6xYOAm7HBJ7MK42AFTsL1L-_TnKTkQGHM99aiuKx8JGkxyzGkjOAa7uiX1VwZ6-U4rq94L898mu5aZY5PWh3pRe_KZvqxt3_eYchxAXEZwdnzTASQ8=&xkcb=SoDG-_M3b6tO59zs1p0LbzkdCdPP&p=0&fvj=1&vjs=3
General Clerk,Save-On-Foods,"Victoria, BC+1 location",PostedPosted 3 days ago,2022-08-06,"An organization that supports local growers, products, community groups, and the environment.
Operating a cash register and bagging groceries.",$16.20 an hour,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A_EXSXQZ876MkP2AO_t1POXQWZkg1SyJbvZPvl8rPDmmE8wOWmmJTQLxPXb-jQAOXErOdSQg-oH1jOB_V-3yEFcSkpVQ-hChI2Q21OOU54RqazLXZq-Iinow_NiKbEc1RGAcOwgZ1gr2-c59aQXA53NiYl2hckkSdWn_3wwzxzCxqs218R7KXx7LIZnycgwfKCd_Ik7tZHzelRb3xJU0vhtR_mYPTe8PktixAWCRzdZEOFDQZwqlvNBRrVjdCSuS1ObMv_BElgQEj80WtgbNx6hKu16Aeh6SL478S2eb3CNpT6cQOodiQZlu8csv7ce8kNEvymoR1aoabFS6R-jZzaUcY6Bi7grnUNRImcrVOJ8DuAPhrS13fqyFhnhKz5laT3KmxMnM8_mQ7ib5gsEzcDp4shmlPzoy3LVnY8iUAi99T3ApK-LqmNX48AATzUfHjtNWSRRYuT2qGbvSkHQ1jmuFhwTvlrrY2f7v1Cos2m3svLg82K8XVktLACiSJBf8gLg4oxFswL14KIlBrdaj6esR1b_Q8PJzFEGJNQKQGThg==&xkcb=SoBy-_M3b6tO59zs1p0KbzkdCdPP&p=1&fvj=0&vjs=3
Sales Associate,Just Cozy,"Victoria, BC",PostedPosted 6 days ago,2022-08-06,"The Sales Associate maximizes sales by delivering efficient, friendly and knowledgeable service and ensuring the store is neat, clean and well-presented at all…",From $16 an hour,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B5ntyHefGi1lD1xfMaCHznkvdK5E4KEFdnz8XSurEGIn-MI_9u-qrA7ci4w3WsRnpdrAmibkoy3XQYGmKhxu8cDjRRwTzGAz6XmAwSFbWJzekPe8zo5r77YLPKC56Cl2uFBYe-0A_QnJAWYvFxoE9M_LSSr4-tDPICKFEGz-kxWqE9ILvepNYfeRcxH6JyL5F6RvkCZArhlOLcDg7Zj4epwvfuYZBYGhFUT1g7x9NQgS_SFHWxGRYGSSW63R0jKDObOnv0w5UbDsPdpJoRGWra6F8aEUNKLU0495Pcgn75gPA7BWzBtzn3hU2QiE8dZfYw6qeKBzEhvJiT5QNcd0vy1oeFgQ_qoDKiJVjjc73h0Q0fnliWP91-Ox6XX7MYuS04hNgA38COukp6_TlQYIe6Hf5Odml5ar3JgsGrEbtOy78MCNMli6DRRNF6HkUsvNOkUfLlk6AXmtGqS6MbOY-M&xkcb=SoDv-_M3b6tO59zs1p0JbzkdCdPP&p=2&fvj=1&vjs=3
"Store Associate, FullTime, Marshalls, Hillside, Victoria",Marshalls,"Victoria, BC",PostedPosted 30+ days ago,2022-08-06,"Greeting customers in a friendly manner; be knowledgeable to answer questions regarding merchandise items, prices and brands and provide information on…",Full-time,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DwAu_0_TA8HCJ4sZaHEgebQ0un_GLdXi8hxhq1oJPF52Vicz0y0W2vVvE4SMySHg5MIWOs4ooqHjj2fU6cOyw-SmCYIpyHJda-Pb0TOzOlh_GSV-iT5glP1XflBvCCzDMArBlyuUFfa9ripHiJadT77Ya3My8UpJpXx6Mb-iK4pN7-DilLdltnQeDotcir4YHyOPVMSKkqvBm3vg32cg3GMQLoe6ahj6UVCxFgkYxfHziRxpS_EypbG4wQcK4U9yVTUymwuOj9UMNb3YnP3miK3TFX5SgcEE651wjJOM5dYzg4aAaM10xOah7O8nGDj-uaoTitTaqX_2C09WLBL1C0yEbB8Uswvgr_8JIoNi73nM_577BW-PdcLiyFvmYWKxtzLEgagwLShy1QAzlK4h3Ahk-jGRHaS9wN20M6mps5rgHQicL4BIfKVAcVe1Xbnyh1jHXyaLJxcc7ZHF7E9aHWLD419ruBCuY6Jhk3QTlWe9kXWv9_y0YN3MZERuEXprEmlQ5sfoWXVH8Bc6elkTgUDwnyx5g-y4SYgNe9JyeqFcDWg6P86auVTXn7Qvv00QPzEbs-R9b3heaWpFmX0BahQOvPTQQOhPO0ovYJqy2fmUklhaGqKQ4BuaDALOgdhufZeg0ei3KRs13Tj5f716980K29UCY8OFAm9dFwSp2i_nXbA8Bxmw3ZhFeHaY4FKfAXNg-hol7sTQ==&xkcb=SoBb-_M3b6tO59zs1p0IbzkdCdPP&p=3&fvj=0&vjs=3
Store Associate,Dollarama L.P.,"Victoria, BC+1 location",PostedPosted 1 day ago,2022-08-06,"These duties must be completed in a professional manner and include but are not limited to operating the point-of-sale system, ensuring the established…",Part-time,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B9nw0IMIeL5kumNJ7V6pqSmBHXJLzIzJcQy5ZQepvnhoh5nogz2O0m6Bcg5CXJo3_mkNMkJkUTb9Lxr8zqQHhloR8EI4aP3D5KWoPJvU8D86iC2WKBna-8IgPYy4_o89L4cGOHiWmvCdsEwCcc3khhsgL3ldTYUr85ny9ouAEjwPyg8zdrPl3AuKE39V73vSwR4O4RPdeK-e05xUiLaSUAhjY10rSrJX1woYZbt0r5siJuoNv4sK_bXUA6eCqyAvD_gvc3SFaaxoPGv_CRZKwB_Fe0zMEM40uoV2nmqELOmFp89FQUEkj--233yXnfuRfyDD7ot8Kxfst8AVJCYsA7WD4k8XOtkf4S9yTfcOPbNmI9fe5nhtdMPQD3zexfNFcp-nPNV5GPzjTKoyOVyZG_E59e6ZxkJSPSPHetKJ4U58vu4-MgOA63K0QblV9yY4b4xRXl_YJ577XGBoUMIlHS9dkChAKGxrCPTAb7EDYIaQ==&xkcb=SoDV-_M3b6tO59zs1p0PbzkdCdPP&p=4&fvj=1&vjs=3
Evening Warehouse Associate,Canadian Tire Langford,"Victoria, BC",EmployerActive 15 days ago,2022-08-06,"The Warehouse Associate has a key role in ensuring that products are received, verified, stored, and transported to the sales floor or in the warehouse in a…",Full-time,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BgG3-vdRRzUHBJTIhbgDj9gYmjmDaPrRYMot6H6sTsGjSkh3sx_WDpiB1RMCW1dlE0FQErgwdjFdO2cu7wjb9DLSj49ciCUOomrI73GcF5f_F0goSW0CgrVJ4VZhzu9_D-5mlyZh7Z4TN7BP2pcbtMrH9X9ik-neU5TxK8rEMhJ9GKdbh8t0iRICzmYsHYawWStZjj1dZmpGdLQ4X0CAJDHGeWaupZUKQj1l3ZflLiwYaJlI3jgFNaBWcoMTDGCpdHT2P0jUQ7os5a6-6ihkY9iqPo7bXRF07ZyZPCr8lAb4Ei5V7FKPEVMZ6M8Hg_RkPqwCbIHQYk4eW2o5_P-3yS2yKSEA70mFbmoYzOrs9v8iRP9_f2q1IwUrQHuv1qlZ-mH6WbPEi0JNJj7R4vRCkxNJD34QnYyBJRzDRlUihC-C3Aacisi2AkAEhXOwvztUzxpoIYRA2akMzsZqTcXUFc8VaHQg2MBibQOTR5_owVrg==&xkcb=SoBh-_M3b6tO59zs1p0ObzkdCdPP&p=5&fvj=1&vjs=3
Service Advisor,Tesla,"Victoria, BC",PostedPosted 24 days ago,2022-08-06,"Must have and maintain a valid driver’s license and an acceptable and safe driving record.
Associate Degree or certificate in Automotive Technology, preferred.",$24–$27 an hour,Retail & Wholesale,ca.indeed.com/company/Tesla/jobs/Service-Advisor-419712218ade5c5e?fccid=86e9be6ce380173e&vjs=3
Cashier,Save-On-Foods,"Victoria, BC+2 locations",PostedPosted 10 days ago,2022-08-06,"An organization that supports local growers, products, community groups, and the environment.
Operating a cash register and bagging groceries.",$16.20 an hour,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A_EXSXQZ876MkP2AO_t1POXQWZkg1SyJbvZPvl8rPDmmE8wOWmmJTQLxPXb-jQAOWSF26-01DZKyUzE7127lrm5lcSaxVVuE9JX-WGwl2VEDC2SWiGL062ZtWtZyFDdfOF3oCpn8aojN2miOmQEVUjSIq9JAr2T9iy5BnuyHzQOo0TeyVVdKBRpwNQBXUyAAvdrKUIQfBOSUp8hzdMNHC8i5yt7cTOszc7BDTmSrsdykwv3-axoF61CUVE68a0ZlD7ps5Nze8VUWiJehkf9dPCM4YnMK0uEnNwdZNngRzZUezWtLKkuaxDLViAe4itcD5QesPLr-PHiNlJTbj-P8mvmiQs6siF82Bt_-47jKrTubBYZ0NYUjlqT-kitSAtiE5ytqxpNhnu4Eb6ZFqgX2JKhABc0xkCPJYCNHBRSuROkG1slaQOI23i_SzIl6wwbZ1pVUwF88M_fuEVBgq5riqPgHeyrgTOeztp7lxQNVDv5oZBlPFFdg8AIFVqovmg0eGyyFsb2fcsnr--w_k12hDr&xkcb=SoD8-_M3b6tO58Ts1p0KbzkdCdPP&p=7&fvj=0&vjs=3
Part-time Produce Clerk,Country Grocer,"Victoria, BC+1 location",PostedPosted 9 days ago,2022-08-06,"Team Member assistance and wellness program.
A desire to comply with established department procedures and safe work practices.
Job Types: Part-time, Permanent.",$15.65 an hour,Retail & Wholesale,ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BWUIHRQplNNBvIJHJVXNrT60DqLfCqW2hXAQeSeTDyF6ESuTCezzPnTzlMnfNg2xLDtTUsAJjMKzvF6AQEXwAN8KVEsuvNXYxOlPrv15GKdlKZYns_8aloSlqFo9g4WaZCDlO25WwJY5rxssDGGmIsJlOYGwb5eXP7B-TYYbS4HaeQHbcnJZlDN2yuKIv0AYuJ_CKjb2dQBZ8XEWRUaLojuiqro0S8rytVgm-O59M3eYGtzYt3cAbCsVDDIw71uobUr_Dp6-Cb5EHiVeNvknmzyUbt1GVfNHiBfKqFQJb-AjIQa-8lE_xhFU6BHZcBwYLkRiklZkb_8AhiNwOoh0Eihi4VbkuraLpUkcxaAbmVgQk57tHOQXVDLeLpKCVdv1CLHAylCJd_0c4NSquAE9s5M0sPbxvATp9I8jiTZYY9UVfSRdUr5jmVyyBRT6Ij7_amjqw3Gaw1yYVtZ4NozDZ5jRcp_mdCRFFvdSKJmJB5DA==&xkcb=SoBh-_M3b6tO58Ts1p0JbzkdCdPP&p=8&fvj=1&vjs=3
Parts Advisor,Tesla,"Victoria, BC",PostedPosted 24 days ago,2022-08-06,"Valid driver’s license in the country in which you are applying, 2-year minimum driving record required with a clean driving history; ability to obtain…",$23–$27 an hour,Retail & Wholesale,ca.indeed.com/company/Tesla/jobs/Part-Advisor-1b8adfbe764343d4?fccid=86e9be6ce380173e&vjs=3
